Axis1,Axis2,Axis3,Vector Magnitude,RR,label
275,86,67,295.82,1.167,0
93,112,45,152.37,0.641,0
69,39,61,100.01,0.975,0
66,86,140,177.06,0.283,0
50,44,38,76.68,9.396,0
28,32,24,48.83,0.815,0
0,0,0,0.0,0.846,0
0,0,0,0.0,0.844,0
42,18,14,47.79,0.896,0
82,137,99,187.87,0.899,0
42,52,49,82.88,0.876,0
46,80,69,115.23,0.852,0
0,0,0,0.0,0.648,0
0,0,0,0.0,0.282,0
0,0,0,0.0,0.449,0
0,0,0,0.0,0.464,0
0,0,0,0.0,4.07,0
0,0,0,0.0,0.724,0
0,0,0,0.0,0.7,0
0,0,9,9.0,0.701,0
0,0,2,2.0,0.71,0
0,48,0,48.0,0.712,0
0,0,0,0.0,0.726,0
0,0,0,0.0,0.727,0
0,0,0,0.0,0.715,0
0,0,0,0.0,0.715,0
23,1,21,31.16,0.702,0
188,164,70,259.11,0.685,0
183,217,82,295.47,0.688,0
60,33,21,71.62,0.714,0
25,65,29,75.44,0.728,0
62,125,75,158.41,0.716,0
99,80,28,130.33,0.734,0
9,3,42,43.06,0.773,0
0,0,0,0.0,0.805,0
13,13,1,18.41,0.795,0
27,25,69,78.2,0.772,0
32,106,83,138.38,0.746,0
53,47,80,106.86,0.736,0
1,14,44,46.18,0.721,0
0,0,24,24.0,0.715,0
43,121,33,132.59,0.714,0
74,180,135,236.86,0.734,0
27,108,89,142.53,0.733,0
0,46,53,70.18,0.748,0
0,0,27,27.0,0.771,0
0,0,18,18.0,0.802,0
0,0,0,0.0,0.795,0
0,0,0,0.0,0.765,0
0,0,0,0.0,0.754,0
0,0,0,0.0,0.744,0
0,0,0,0.0,0.75,0
42,0,94,102.96,0.729,0
35,0,63,72.07,0.715,0
60,102,109,160.89,0.781,0
32,77,55,99.89,0.79,0
3,66,56,86.61,0.786,0
52,69,72,112.47,0.763,0
44,39,99,115.14,0.77,0
18,10,3,20.81,0.757,0
56,163,27,174.45,0.753,0
21,64,13,68.6,0.728,0
12,98,64,117.66,0.73,0
5,58,31,65.95,0.758,0
3,11,2,11.58,0.769,0
27,68,72,102.65,0.785,0
8,0,44,44.72,0.804,0
111,98,25,150.17,0.811,0
34,36,25,55.47,0.813,0
39,42,3,57.39,0.801,0
63,2,30,69.81,0.79,0
37,9,20,43.01,0.791,0
0,42,0,42.0,0.788,0
2,16,22,27.28,0.771,0
3,5,2,6.16,0.75,0
62,19,220,229.36,0.749,0
105,11,191,218.24,0.742,0
49,0,84,97.25,0.741,0
21,0,133,134.65,0.74,0
0,0,70,70.0,0.743,0
40,15,80,90.69,0.769,0
7,8,49,50.14,0.787,0
0,0,30,30.0,0.772,0
19,6,17,26.19,0.76,0
68,34,135,154.94,0.77,0
62,83,133,168.59,0.768,0
39,62,138,156.23,0.759,0
13,6,181,181.57,0.756,0
77,23,209,223.92,0.811,0
48,26,62,82.61,0.802,0
9,0,36,37.11,0.786,0
0,0,0,0.0,0.76,0
0,0,0,0.0,0.778,0
7,0,15,16.55,0.775,0
18,14,30,37.68,0.747,0
0,0,0,0.0,0.776,0
0,0,0,0.0,0.77,0
0,0,0,0.0,0.766,0
0,0,0,0.0,0.758,0
5,4,0,6.4,0.756,0
11,53,114,126.2,0.752,0
47,87,164,191.5,0.742,0
27,45,8,53.08,0.74,0
5,9,0,10.3,0.729,0
21,0,0,21.0,0.726,0
6,0,0,6.0,0.736,0
0,0,0,0.0,0.732,0
0,0,0,0.0,0.744,0
91,148,89,195.21,0.778,0
47,120,41,135.24,0.844,0
