Axis1,Axis2,Axis3,Vector Magnitude,RR,label
275,86,67,295.82,1.167,1
93,112,45,152.37,0.641,1
69,39,61,100.01,0.975,1
66,86,140,177.06,0.283,1
50,44,38,76.68,9.396,1
28,32,24,48.83,0.815,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.844,1
42,18,14,47.79,0.896,1
82,137,99,187.87,0.899,1
42,52,49,82.88,0.876,1
46,80,69,115.23,0.852,1
0,0,0,0.0,0.648,1
0,0,0,0.0,0.282,1
0,0,0,0.0,0.449,1
0,0,0,0.0,0.464,1
0,0,0,0.0,4.07,1
0,0,0,0.0,0.724,1
0,0,0,0.0,0.7,1
0,0,9,9.0,0.701,1
0,0,2,2.0,0.71,1
0,48,0,48.0,0.712,1
0,0,0,0.0,0.726,1
0,0,0,0.0,0.727,1
0,0,0,0.0,0.715,1
0,0,0,0.0,0.715,1
23,1,21,31.16,0.702,1
188,164,70,259.11,0.685,1
183,217,82,295.47,0.688,1
60,33,21,71.62,0.714,1
25,65,29,75.44,0.728,1
62,125,75,158.41,0.716,1
99,80,28,130.33,0.734,1
9,3,42,43.06,0.773,1
0,0,0,0.0,0.805,1
13,13,1,18.41,0.795,1
27,25,69,78.2,0.772,1
32,106,83,138.38,0.746,1
53,47,80,106.86,0.736,1
1,14,44,46.18,0.721,1
0,0,24,24.0,0.715,1
43,121,33,132.59,0.714,1
74,180,135,236.86,0.734,1
27,108,89,142.53,0.733,1
0,46,53,70.18,0.748,1
0,0,27,27.0,0.771,1
0,0,18,18.0,0.802,1
0,0,0,0.0,0.795,1
0,0,0,0.0,0.765,1
0,0,0,0.0,0.754,1
0,0,0,0.0,0.744,1
0,0,0,0.0,0.75,1
42,0,94,102.96,0.729,1
35,0,63,72.07,0.715,1
60,102,109,160.89,0.781,1
32,77,55,99.89,0.79,1
3,66,56,86.61,0.786,1
52,69,72,112.47,0.763,1
44,39,99,115.14,0.77,1
18,10,3,20.81,0.757,1
56,163,27,174.45,0.753,1
21,64,13,68.6,0.728,1
12,98,64,117.66,0.73,1
5,58,31,65.95,0.758,1
3,11,2,11.58,0.769,1
27,68,72,102.65,0.785,1
8,0,44,44.72,0.804,1
111,98,25,150.17,0.811,1
34,36,25,55.47,0.813,1
39,42,3,57.39,0.801,1
63,2,30,69.81,0.79,1
37,9,20,43.01,0.791,1
0,42,0,42.0,0.788,1
2,16,22,27.28,0.771,1
3,5,2,6.16,0.75,1
62,19,220,229.36,0.749,1
105,11,191,218.24,0.742,1
49,0,84,97.25,0.741,1
21,0,133,134.65,0.74,1
0,0,70,70.0,0.743,1
40,15,80,90.69,0.769,1
7,8,49,50.14,0.787,1
0,0,30,30.0,0.772,1
19,6,17,26.19,0.76,1
68,34,135,154.94,0.77,1
62,83,133,168.59,0.768,1
39,62,138,156.23,0.759,1
13,6,181,181.57,0.756,1
77,23,209,223.92,0.811,1
48,26,62,82.61,0.802,1
9,0,36,37.11,0.786,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.778,1
7,0,15,16.55,0.775,1
18,14,30,37.68,0.747,1
0,0,0,0.0,0.776,1
0,0,0,0.0,0.77,1
0,0,0,0.0,0.766,1
0,0,0,0.0,0.758,1
5,4,0,6.4,0.756,1
11,53,114,126.2,0.752,1
47,87,164,191.5,0.742,1
27,45,8,53.08,0.74,1
5,9,0,10.3,0.729,1
21,0,0,21.0,0.726,1
6,0,0,6.0,0.736,1
0,0,0,0.0,0.732,1
0,0,0,0.0,0.744,1
91,148,89,195.21,0.778,1
47,120,41,135.24,0.844,1
111,219,130,277.82,0.874,1
26,1,16,30.55,0.915,1
1,0,13,13.04,0.875,1
86,41,53,109.02,0.876,1
20,33,48,61.59,0.858,1
50,20,110,122.47,0.831,1
20,0,104,105.91,0.798,1
0,0,63,63.0,0.771,1
0,0,4,4.0,0.77,1
0,0,0,0.0,0.761,1
0,0,0,0.0,0.75,1
0,0,0,0.0,0.806,1
0,0,0,0.0,0.794,1
0,0,0,0.0,0.791,1
0,0,0,0.0,0.788,1
0,0,0,0.0,0.783,1
0,0,0,0.0,0.789,1
0,0,0,0.0,0.773,1
0,0,0,0.0,0.776,1
0,0,0,0.0,0.784,1
0,0,0,0.0,0.776,1
0,0,0,0.0,0.804,1
0,0,0,0.0,0.812,1
0,0,0,0.0,0.828,1
0,0,0,0.0,0.82,1
0,0,0,0.0,0.831,1
0,0,0,0.0,0.799,1
0,0,0,0.0,0.675,1
0,0,0,0.0,0.923,1
0,0,0,0.0,0.769,1
0,0,0,0.0,0.777,1
0,0,0,0.0,0.754,1
0,0,0,0.0,0.738,1
0,0,0,0.0,0.725,1
0,0,0,0.0,0.701,1
0,0,0,0.0,0.708,1
0,0,0,0.0,0.689,1
0,0,0,0.0,0.671,1
0,0,0,0.0,0.659,1
0,0,0,0.0,0.659,1
0,0,0,0.0,0.666,1
66,19,189,201.09,0.659,1
129,110,100,196.83,0.685,1
49,42,57,86.1,0.714,1
55,50,18,76.48,0.755,1
0,25,0,25.0,0.802,1
7,0,0,7.0,0.954,1
0,0,0,0.0,0.939,1
0,0,0,0.0,0.906,1
0,0,0,0.0,0.938,1
0,0,0,0.0,0.945,1
0,0,0,0.0,0.946,1
0,0,0,0.0,0.859,1
0,0,0,0.0,0.911,1
0,0,0,0.0,0.902,1
0,0,0,0.0,0.908,1
0,0,0,0.0,0.886,1
0,0,0,0.0,0.901,1
0,0,0,0.0,0.914,1
0,0,0,0.0,0.911,1
0,0,0,0.0,0.893,1
0,0,0,0.0,0.883,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.851,1
0,0,0,0.0,0.844,1
0,0,0,0.0,0.834,1
0,0,0,0.0,0.79,1
0,0,0,0.0,0.782,1
49,36,23,65.01,0.815,1
76,0,83,112.54,0.836,1
15,13,76,78.55,0.881,1
141,13,298,329.93,0.922,1
78,23,194,210.35,0.927,1
80,46,166,189.93,0.918,1
7,0,43,43.57,0.881,1
50,0,0,50.0,0.907,1
108,0,45,117.0,0.896,1
0,0,0,0.0,0.926,1
0,0,0,0.0,0.898,1
0,0,0,0.0,0.903,1
0,0,0,0.0,0.859,1
0,0,0,0.0,0.9,1
0,0,0,0.0,0.898,1
0,0,0,0.0,0.931,1
0,0,0,0.0,0.904,1
0,0,0,0.0,0.897,1
0,0,0,0.0,0.857,1
0,0,0,0.0,0.827,1
0,0,0,0.0,0.798,1
0,0,0,0.0,0.784,1
0,0,0,0.0,0.77,1
0,0,0,0.0,0.749,1
0,0,0,0.0,0.738,1
0,0,0,0.0,0.713,1
0,0,0,0.0,0.742,1
0,0,0,0.0,0.743,1
0,0,0,0.0,0.754,1
0,0,0,0.0,0.762,1
0,0,0,0.0,0.744,1
0,0,0,0.0,0.73,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.779,1
0,0,0,0.0,0.815,1
0,0,0,0.0,0.8,1
